product_name,product_price,product_link
Samsung Galaxy A34 5G - 6.6'' - (8GB - 256GB)  -50MP+12MP+5MP+/32MP - Noir,3190.0,https://www.jumia.ma/samsung-galaxy-a34-5g-6.6-8gb-256gb-50mp12mp5mp32mp-noir-65378840.html
Samsung Galaxy A53 5G - 6.5'' - (8GB - 256GB)  -64MP+12MP+5MP+/32MP - Noir,3399.0,https://www.jumia.ma/samsung-galaxy-a53-5g-6.5-8gb-256gb-64mp12mp5mp32mp-noir-59795890.html
Samsung Galaxy A14 - 6.6'' - LTE - 6GB + 128GB - 50 Mpx - Silver,1938.0,https://www.jumia.ma/samsung-galaxy-a14-6.6-lte-6gb-128gb-50-mpx-silver-63964450.html
"Samsung Galaxy A15 6.6"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Jaune",1699.0,https://www.jumia.ma/samsung-galaxy-a15-6.6-4g-lte-4gb-ram-128gb-rom-50-mpx-jaune-65585524.html
"Samsung Galaxy S24 Noir (8 Go RAM / 128 Go) Ecran Dynamic AMOLED 2X 120Hz 6.2"" inch -New",7499.0,https://www.jumia.ma/samsung-galaxy-s24-noir-8-go-ram-128-go-ecran-dynamic-amoled-2x-120hz-6.2-inch-new-64722276.html
Samsung Galaxy S24 Ultra SM-S928B Titanium Noir (12Go / 512 Go) Dynamic AMOLED 2x - Neuf,13999.0,https://www.jumia.ma/samsung-galaxy-s24-ultra-sm-s928b-titanium-noir-12go-512-go-dynamic-amoled-2x-neuf-64856069.html
"Samsung Galaxy A05s - 6,7"" - 6GB+128GB - Mauve",1683.0,https://www.jumia.ma/samsung-galaxy-a05s-67-6gb128gb-mauve-64720003.html
"Samsung Galaxy S21 5G ( 256Go, 8Go ) Violet 6.2"" - Remis à Neuf",3600.0,https://www.jumia.ma/samsung-galaxy-s21-5g-256go-8go-violet-6.2-remis-a-neuf-65569225.html
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB)  -50MP+12MP+5MP+/32MP - Vert,4190.0,https://www.jumia.ma/galaxy-a54-5g-6.5-8gb-128gb-50mp12mp5mp32mp-vert-samsung-mpg1400092.html
"Samsung Galaxy A25 5G  6.3"" (6GB RAM + 128GB ROM) - 50 Mpx - Bleu",2590.0,https://www.jumia.ma/samsung-galaxy-a25-5g-6.3-6gb-ram-128gb-rom-50-mpx-bleu-64765996.html
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB) -50MP+12MP+5MP+/32MP - Noir,4480.0,https://www.jumia.ma/samsung-galaxy-a54-5g-6.5-8gb-256gb-50mp12mp5mp32mp-noir-65127535.html
"Samsung Galaxy A05s - 6,7"" - 6GB+128GB - Noir",1683.0,https://www.jumia.ma/samsung-galaxy-a05s-67-6gb128gb-noir-64720012.html
"Samsung Galaxy A35 - 6.6"" - 8 GB RAM + 256 GB ROM - Noir",4439.0,https://www.jumia.ma/samsung-galaxy-a35-6.6-8-gb-ram-256-gb-rom-noir-65112883.html
Samsung Galaxy Z Fold 5 12+256GB Cream (Dual Sim) (SM-F946BZEDMWD),21762.0,https://www.jumia.ma/samsung-galaxy-z-fold-5-12256gb-cream-dual-sim-sm-f946bzedmwd-65143464.html
"Samsung Galaxy A15 6.6"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Jaune",1730.0,https://www.jumia.ma/samsung-galaxy-a15-6.6-4g-lte-4gb-ram-128gb-rom-50-mpx-jaune-65557437.html
"Samsung Galaxy A25 5G  6.3"" (6GB RAM + 128GB ROM) - 50 Mpx - Noir",2650.0,https://www.jumia.ma/samsung-galaxy-a25-5g-6.3-6gb-ram-128gb-rom-50-mpx-noir-64765997.html
"Samsung Galaxy S22 Ultra 6,8"" (12 Gb Ram - 256 Gb) Phantom Black (Noir) - Remis à neuf",7499.0,https://www.jumia.ma/samsung-galaxy-s22-ultra-68-12-gb-ram-256-gb-phantom-black-noir-remis-a-neuf-64856118.html
"Samsung A15 6.5"" (4GB - 128GB) Amoled 90Hz - Helio G99 - 5000 mAh - Personality Yellow",1850.0,https://www.jumia.ma/samsung-a15-6.5-4gb-128gb-amoled-90hz-helio-g99-5000-mah-personality-yellow-64735165.html
"Samsung Galaxy A05S 6.7"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Noir",1790.0,https://www.jumia.ma/samsung-galaxy-a05s-6.7-4g-lte-4gb-ram-128gb-rom-50-mpx-noir-64805452.html
"Samsung Galaxy A15 6.6"" 4G LTE (8GB RAM + 256GB ROM) - 50 Mpx -  Bleu Noir",2300.0,https://www.jumia.ma/samsung-galaxy-a15-6.6-4g-lte-8gb-ram-256gb-rom-50-mpx-bleu-noir-65557439.html
Samsung Galaxy A14 6.6'' LTE 4+64GB  Noir,1420.0,https://www.jumia.ma/samsung-galaxy-a14-6.6-lte-464gb-noir-65299385.html
"Samsung Galaxy M33 - 6.6"" - 5G - 6GB RAM+128GB ROM -Dual Sim - 50Mpx - Vert",2490.0,https://www.jumia.ma/samsung-galaxy-m33-6.6-5g-6gb-ram128gb-rom-dual-sim-50mpx-vert-58594688.html
"Samsung Galaxy M33 - 6.6"" - 5G - 6GB RAM+128GB ROM -Dual Sim - 50Mpx - Marron",2390.0,https://www.jumia.ma/samsung-galaxy-m33-6.6-5g-6gb-ram128gb-rom-dual-sim-50mpx-marron-62057833.html
Samsung Galaxy A54 5G - 6.5''-(8GB - 256GB)-50MP+12MP+5MP+/32MP- Blanc,4300.0,https://www.jumia.ma/samsung-galaxy-a54-5g-6.5-8gb-256gb-50mp12mp5mp32mp-blanc-63572526.html
"Samsung Galaxy S23 - 6.1"" - 8GB + 256GB - Purple",7859.0,https://www.jumia.ma/samsung-galaxy-s23-6.1-8gb-256gb-purple-64722274.html
Samsung Galaxy A55 5G - 6.5''-(8GB - 256GB)-50MP+12MP+5MP+/32MP- Bleu,4900.0,https://www.jumia.ma/samsung-galaxy-a55-5g-6.5-8gb-256gb-50mp12mp5mp32mp-bleu-65470482.html
"Samsung Galaxy S23+ SM-S916B Violet - 8Go/256Go - Dynamic AMOLED - 6.6""- Remis à Neuf",6999.0,https://www.jumia.ma/samsung-galaxy-s23-sm-s916b-violet-8go256go-dynamic-amoled-6.6-remis-a-neuf-64878032.html
Samsung Galaxy A55 5G - 6.5''-(8GB - 256GB)-50MP+12MP+5MP+/32MP- Noir,4900.0,https://www.jumia.ma/samsung-galaxy-a55-5g-6.5-8gb-256gb-50mp12mp5mp32mp-noir-65470483.html
"Samsung Galaxy A03  (4G Ram 64 G Rom) 6.5""  5000 mAh - 48MP - Dual Sim-Noir",1440.0,https://www.jumia.ma/galaxy-a03-4g-ram-64-g-rom-6.5-5000-mah-48mp-dual-sim-noir-samsung-mpg1395261.html
"Samsung A05 6.7"" (128GB - 4GB) IPS LCD - 5000 mAh - 50MP- Noir",1449.0,https://www.jumia.ma/samsung-a05-6.7-128gb-4gb-ips-lcd-5000-mah-50mp-noir-64881532.html
Samsung Galaxy Z Fold 5 12+512GB Cream (Dual Sim) (SM-F946BZEGMWD),22027.0,https://www.jumia.ma/samsung-galaxy-z-fold-5-12512gb-cream-dual-sim-sm-f946bzegmwd-65143445.html
"Samsung Galaxy A05S 6.7"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Vert",1690.0,https://www.jumia.ma/samsung-galaxy-a05s-6.7-4g-lte-4gb-ram-128gb-rom-50-mpx-vert-64805453.html
"Samsung Galaxy Z Flip5 - 6.7"" - 8GB + 256GB - Mint",9199.0,https://www.jumia.ma/samsung-galaxy-z-flip5-6.7-8gb-256gb-mint-64155104.html
"Samsung Galaxy A15 6.6"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx -  Bleu",1720.0,https://www.jumia.ma/samsung-galaxy-a15-6.6-4g-lte-4gb-ram-128gb-rom-50-mpx-bleu-64940002.html
"Samsung Galaxy A25 5G  6.3"" (8GB RAM + 256GB ROM) - 50 Mpx - Bleu",3250.0,https://www.jumia.ma/samsung-galaxy-a25-5g-6.3-8gb-ram-256gb-rom-50-mpx-bleu-64779533.html
"Samsung Galaxy A35 - 6.6"" - 8GB RAM + 256GB ROM - Noir",4999.0,https://www.jumia.ma/samsung-galaxy-a35-6.6-8gb-ram-256gb-rom-noir-64939177.html
"Samsung Galaxy M53 5G - 6.7"" - 108 Mpx - 8GB RAM - 256GB ROM – Blue",3899.0,https://www.jumia.ma/galaxy-m53-5g-6.7-108-mpx-8gb-ram-256gb-rom-brown-samsung-mpg1395284.html
"Samsung Galaxy A13 6.6"" LTE 4GB RAM + 64GB ROM 50 Mpx -WHITE",1739.0,https://www.jumia.ma/samsung-galaxy-a13-6.6-lte-4gb-ram-64gb-rom-50-mpx-white-60042879.html
